Group,Genus,Species,Taxonomic Note,Order,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Heterostracans,Homalaspidella,borealis,,Heterostraci,Cyathaspididae,Silurian,,Gorstian,below Monograptus dubius zone,,Road River Formation,,"Beaver River, Yukon, Canada",427,425,"Elliott and Swift, 2013; Boucot & Janis 1983 for BA and Formation"
Heterostracans,Homalaspidella,sp.,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Pod'emnaya Formation,,"Severnaya Zemlya, Russia",419,414,Blieck et al 2002; Turner 1999 for BA
Heterostracans,Homalaspidella,nitida,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,Geddinian,,Red Bay Series,Ben Nevis division,"Spitsbergen, Norway",413,410,Denison 1964; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Irregularaspis,stensioei,,Heterostraci,Irregularaspididae,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Irregularaspis,seretensis,,Heterostraci,Irregularaspididae,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Irregulareaspis,hoeli,,,,Devonian,,Lockhovian ,,Red Bay,Ben Nevis,,"Spitbergen, Norway",413,410,Blieck & Heintz 1983; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Lamiaspis,,,,,Devonian,,Emsian,late,,Sevy Dolomite,Sandy Member,,400,397,Pers. Obs.
Heterostracans,Lampraspis,tuberculata,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Denison 1970; Fiorillo 2000 for environment
Heterostracans,Lampraspis,carmani,,,Pteraspidiformes,,,Pragian,,,Holland Quarry Shale,,"Toledo, Ohio, USA",410,407,Denison 1960; Plotnick 1999
Heterostracans,Larnovaspis,sp,,,Pteraspididae,Devonian,,Lockhovian,,,Chortkov Formation,,"Podolia, Ukraine",416,415,Plotnick 1999
Heterostracans,Larnovaspis,iwaniensis,,,Pteraspidiformes,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Larnovaspis,major,,,Pteraspidiformes,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Larnovaspis,major,,,Pteraspidiformes,Devonian,,Lockhovian/Pragian,,,Dniester Formation,Ustechko,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
Heterostracans,Larnovaspis,mogielnensis,,,Pteraspidiformes,Devonian,,Lockhovian/Pragian,,,Dniester Formation,Ustechko,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
